YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1981,6,21,-999.0,-999.0,-999.0,-999.0,13.52,11.35,12.44,13.98,-263.32,19.67,9.84,,,,,
1981,6,22,-999.0,-999.0,-999.0,-999.0,14.28,12.06,13.17,14.58,-263.39,20.45,10.7,,,,,
1981,6,23,-999.0,-999.0,-999.0,-999.0,14.63,11.65,13.14,14.44,-262.24,21.44,10.52,,,,,
1981,6,24,-999.0,-999.0,-999.0,-999.0,14.1,10.61,12.36,13.09,-263.23,19.4,9.48,,,,,
1981,6,25,-999.0,-999.0,-999.0,-999.0,14.18,10.52,12.35,13.23,-265.17,18.43,10.45,,,,,
1981,6,26,-999.0,-999.0,-999.0,-999.0,15.93,10.92,13.43,14.4,-261.01,22.28,10.14,,,,,
1981,6,27,-999.0,-999.0,-999.0,-999.0,14.96,10.9,12.94,13.94,-260.51,22.0,9.36,,,,,
1981,6,28,-999.0,-999.0,-999.0,-999.0,14.89,11.17,13.03,14.44,-259.85,22.32,9.02,,,,,
1981,6,29,-999.0,-999.0,-999.0,-999.0,15.0,10.99,13.0,14.46,-260.04,22.38,9.27,,,,,
1981,6,30,-999.0,-999.0,-999.0,-999.0,15.89,11.14,13.51,15.16,-260.22,22.98,10.05,,,,,
1981,7,1,-999.0,-999.0,-999.0,-999.0,15.9,12.62,14.26,15.36,-262.18,21.75,10.78,,,,,
1981,7,2,-999.0,-999.0,-999.0,-999.0,14.6,11.95,13.27,14.55,-259.72,23.05,9.62,,,,,
1981,7,3,-999.0,-999.0,-999.0,-999.0,11.22,9.08,10.15,11.37,-267.49,14.81,9.15,,,,,
1981,7,4,-999.0,-999.0,-999.0,-999.0,11.55,9.32,10.44,11.74,-266.51,15.73,9.08,,,,,
1981,7,5,-999.0,-999.0,-999.0,-999.0,11.29,8.8,10.05,11.39,-265.75,15.83,8.43,,,,,
1981,7,6,-999.0,-999.0,-999.0,-999.0,11.05,8.56,9.8,11.12,-265.69,15.4,7.94,,,,,
1981,7,7,-999.0,-999.0,-999.0,-999.0,11.91,9.18,10.55,12.33,-264.67,17.23,8.75,,,,,
1981,7,8,-999.0,-999.0,-999.0,-999.0,11.92,9.41,10.66,12.37,-264.43,17.28,8.56,,,,,
1981,7,9,-999.0,-999.0,-999.0,-999.0,13.17,9.55,11.37,13.68,-261.72,19.77,8.34,,,,,
